MSOA_name,MSOA_code,Rec_obesity,Rec_overweight,Y6_obesity,Y6_overweight,All households,not deprived,deprived in one,deprived in two,deprived in three,deprived in four,x,y
Salford 008,E02001164,10.90909091,25.45454545,28.125,45.3125,2842,1298,908,483,149,4,379445.4035,401914.1578
Salford 009,E02001165,13.95348837,27.90697674,25,36.36363636,2662,1245,883,417,116,1,376919.6525,401908.1548
Salford 010,E02001166,,16,20.83333333,41.66666667,2384,989,856,403,126,10,383188.7869,401769.6752
Salford 011,E02001167,10.90909091,21.81818182,24.13793103,37.93103448,2809,1271,946,443,140,9,381574.4465,401605.4475
Salford 012,E02001168,10.81081081,27.02702703,25.67567568,40.54054054,4220,1894,1378,721,213,14,377862.8407,401068.2455
Salford 013,E02001169,4.285714286,14.28571429,12.30769231,26.15384615,4453,2691,1285,403,70,4,372516.9905,400973.3423
Salford 014,E02001170,7.142857143,16.66666667,13.33333333,26.66666667,4145,2560,1192,345,46,2,376031.8071,400920.3072
Salford 015,E02001171,6.451612903,19.35483871,16.21621622,32.43243243,2553,1330,829,333,58,3,378827.539,400747.998
Salford 016,,14.81481481,27.16049383,28.88888889,44.44444444,,,,,,,,
Salford 017,E02001173,16.98113208,32.0754717,26.86567164,46.26865672,3571,1224,1233,770,321,23,381377.7412,400064.4896
Salford 018,E02001174,8.695652174,21.73913043,32.14285714,42.85714286,2337,1238,730,286,81,2,379663.1357,400141.1248
Salford 019,E02001175,11.62790698,25.58139535,26.2295082,39.3442623,3077,1408,959,514,182,14,375770.68,399449.5482
Salford 020,E02001176,12.5,18.75,14.75409836,31.14754098,5473,2666,1714,828,250,15,377344.8511,399257.3784
Salford 021,E02001177,12.16216216,28.37837838,31.76470588,44.70588235,5817,2604,1921,972,312,8,379313.4555,399070.3166
Salford 022,,12.5,25,20,37.5,,,,,,,,
Salford 023,E02001179,11.62790698,30.23255814,33.33333333,46.66666667,3172,1299,1079,613,176,5,380418.7951,398893.4864
Salford 024,E02001180,11.11111111,25,26.47058824,44.11764706,2542,791,877,564,299,11,381283.5002,398950.5978
Salford 025,E02001181,13.33333333,26.66666667,26.41509434,39.62264151,2634,993,899,509,221,12,375473.4053,398211.4614
Salford 026,E02001182,12,28,24.48979592,38.7755102,3327,1340,1093,641,240,13,376966.4033,398165.598
Salford 027,E02001183,11.11111111,22.22222222,21.95121951,39.02439024,3187,1465,1020,547,145,10,376144.0134,398005.3863
Salford 028,,14.28571429,26.98412698,32.8125,46.875,,,,,,,,
Salford 029,E02001185,11.42857143,25.71428571,25.64102564,38.46153846,4089,1762,1421,679,214,13,372503.7228,395045.2496
Salford 030,E02001186,8.75,22.5,25.92592593,37.03703704,4478,2031,1545,708,185,9,370988.5385,392622.6272
Stockport 001,E02001187,9.090909091,30.3030303,26.92307692,40.38461538,3081,1378,1077,501,121,4,389834.1467,394267.8592
Stockport 002,E02001188,9.615384615,25,22.72727273,39.39393939,3828,1696,1317,633,174,8,389131.1082,394121.3996
Stockport 003,E02001189,11.36363636,27.27272727,17.0212766,29.78723404,3596,1765,1199,494,129,9,389379.981,392830.5872
Stockport 004,E02001190,13.79310345,29.31034483,25.71428571,41.42857143,3486,1027,1123,851,460,25,391161.1497,392562.1399
Stockport 005,E02001191,7.407407407,22.22222222,24.24242424,39.39393939,2631,1295,852,379,102,3,393845.5171,392295.7377
Stockport 006,E02001192,,17.85714286,13.88888889,25,2856,1615,865,295,62,19,388243.595,392255.9914
Stockport 007,E02001193,9.756097561,24.3902439,28.57142857,47.61904762,3015,1370,1007,488,142,8,389267.193,391556.66
Stockport 008,E02001194,4.87804878,17.07317073,17.0212766,25.53191489,2655,1572,796,238,42,7,387353.0841,391627.9212
Stockport 009,E02001195,9.523809524,21.42857143,19.56521739,36.95652174,3266,1638,1076,455,92,5,392419.7873,391544.407
Stockport 010,E02001196,9.523809524,21.42857143,20,30,3422,1699,1184,450,85,4,394770.9248,390970.6866
Stockport 011,E02001197,7.317073171,19.51219512,16,28,2622,1507,750,291,68,6,388101.9603,390842.2234
Stockport 012,E02001198,13.33333333,28.88888889,23.21428571,35.71428571,3348,1378,1167,624,172,7,393128.9969,390836.3821
Stockport 013,E02001199,7.142857143,19.04761905,15.90909091,25,3403,2036,990,306,64,7,386839.2158,390741.3195
Stockport 014,E02001200,10.86956522,26.08695652,30.6122449,46.93877551,4080,1424,1431,803,397,25,389781.3131,390246.4625
Stockport 015,E02001201,6.060606061,21.21212121,25,32.5,2460,1320,755,325,57,3,391061.8902,389863.947
Stockport 016,E02001202,14.63414634,31.70731707,25.64102564,38.46153846,3182,1538,966,496,169,13,388755.9845,389557.4026
Stockport 017,E02001203,,16.66666667,9.090909091,24.24242424,2454,1566,723,149,16,0,396885.1983,389579.3247
Stockport 018,E02001204,9.259259259,24.07407407,22.95081967,42.62295082,3784,1940,1228,466,144,6,387762.655,389350.748
Stockport 019,E02001205,10.81081081,24.32432432,22.22222222,37.03703704,3971,1789,1280,671,213,18,390511.7137,389292.1707
Stockport 020,E02001206,5,15,12.5,25,3101,1683,995,341,81,1,395290.9028,388740.8996
Stockport 021,E02001207,9.756097561,19.51219512,16.66666667,33.33333333,2939,1581,950,340,64,4,392829.5532,388450.7898
Stockport 022,E02001208,11.76470588,23.52941176,19.04761905,35.71428571,3445,1723,1105,478,127,12,386938.1083,388504.1553
Stockport 023,E02001209,6.25,16.66666667,25.92592593,37.03703704,3441,1758,1150,417,113,3,389510.014,388643.3183
Stockport 024,E02001210,13.04347826,28.26086957,25,39.0625,3046,1235,1036,593,174,8,391723.9645,388505.3901
Stockport 025,E02001211,8.108108108,13.51351351,16,34,2607,1493,805,260,45,4,384463.0682,388542.9022
Stockport 026,E02001212,13.04347826,26.08695652,23.68421053,39.47368421,2683,1042,865,574,192,10,388653.1609,388219.45
Stockport 027,E02001213,7.317073171,24.3902439,14.28571429,26.98412698,4275,2373,1347,446,104,5,390774.0248,387893.1872
Stockport 028,E02001214,10,20,20,32.5,3173,1608,999,467,92,7,385349.7327,387883.6473
Stockport 029,E02001215,8.571428571,25.71428571,13.88888889,27.77777778,2628,1415,857,310,43,3,395927.2639,387844.9243
Stockport 030,E02001216,8.823529412,17.64705882,14.89361702,27.65957447,3326,1941,1033,309,41,2,387192.3239,387252.3351
Stockport 031,E02001217,8.333333333,22.22222222,20,35.55555556,3136,1561,1045,412,104,14,392170.0497,387269.5968
Stockport 032,E02001218,6.060606061,18.18181818,8.333333333,22.22222222,2359,1369,749,200,39,2,388946.2243,386739.4489
Stockport 033,E02001219,8,24,17.24137931,31.03448276,2221,1304,690,207,20,0,391345.9842,386313.4825
Stockport 034,E02001220,9.090909091,18.18181818,13.15789474,28.94736842,2319,1294,697,260,63,5,386652.9347,386222.451
Stockport 035,E02001221,9.523809524,19.04761905,11.11111111,25,2386,1396,747,214,29,0,392487.1386,386056.9013
Stockport 036,E02001222,7.894736842,18.42105263,23.80952381,38.0952381,2417,1225,856,305,30,1,384804.0704,386143.1924
Stockport 037,E02001223,5.714285714,17.14285714,14.70588235,29.41176471,2799,1706,865,203,25,0,389741.5389,385796.0494
Stockport 038,E02001224,10.52631579,21.05263158,13.33333333,36.66666667,2547,1367,880,268,30,2,395159.0831,385481.7787
Stockport 039,E02001225,6.976744186,18.60465116,7.01754386,19.29824561,3028,1778,937,264,46,3,387496.7914,385416.5167
Stockport 040,E02001226,10,22.5,25,36.53846154,2788,1447,940,312,84,5,385460.7058,385496.6637
Stockport 041,E02001227,6.896551724,13.79310345,10.52631579,21.05263158,2333,1477,674,163,19,0,388197.8186,384853.7251
Stockport 042,E02001228,,14.28571429,12,28,2519,1596,715,185,21,2,389252.1694,383974.7808
