MSOA_name,MSOA_code,Rec_obesity,Rec_overweight,Y6_obesity,Y6_overweight,Sum,"L1, L2 and L3","L4, L5 and L6",L7,L8 and L9,L10 and L11,L12,L13,L14.1 and L14.2,L15,x,y
Oldham 012,E02001109,10.52631579,26.31578947,28.57142857,42.85714286,1954,157,305,218,256,158,314,357,154,35,394688.0054,405881.6074
Oldham 013,E02001110,,16,10.71428571,25,1635,458,464,175,258,75,93,82,26,4,398245.5002,406003.5739
Oldham 014,E02001111,13.20754717,24.52830189,30.15873016,44.44444444,1928,61,201,133,186,179,278,540,295,55,392605.8888,405693.3802
Oldham 015,E02001112,,20,21.875,31.25,1532,294,419,209,198,99,110,168,31,4,389339.1543,405615.172
Oldham 016,E02001113,13.69863014,21.91780822,33.76623377,48.05194805,1956,70,191,149,279,308,195,398,323,43,391618.3539,405540.2907
Oldham 017,E02001114,13.04347826,28.26086957,25.86206897,43.10344828,2049,214,407,269,222,192,224,362,137,22,390499.3571,405264.9568
Oldham 018,E02001115,8.695652174,21.73913043,17.24137931,27.5862069,1565,209,369,189,205,116,187,209,68,13,395623.3113,405079.5708
Oldham 019,E02001116,9.433962264,16.98113208,28.57142857,42.85714286,1762,67,249,126,343,99,230,372,174,102,394336.0938,404894.9873
Oldham 020,E02001117,8.695652174,17.39130435,12,28,1466,348,458,147,195,69,110,105,28,6,399730.551,404639.808
Oldham 021,E02001118,8.333333333,16.66666667,18.18181818,31.81818182,1576,335,436,201,234,76,128,114,40,12,396448.5855,404576.325
Oldham 022,E02001119,12.85714286,22.85714286,27.27272727,41.41414141,2325,90,184,132,579,151,299,465,401,24,393608.5169,404394.6985
Oldham 024,E02001121,13.43283582,23.88059701,26.92307692,39.74358974,1806,91,156,124,386,102,224,409,278,36,392578.1327,403839.9397
Oldham 026,E02001123,15.68627451,27.45098039,23.63636364,41.81818182,1793,116,280,186,228,120,300,351,185,27,394671.9921,403678.8876
Oldham 027,E02001124,12.12121212,24.24242424,30.23255814,44.18604651,1659,110,265,202,207,105,251,339,155,25,390749.4317,403444.0817
Oldham 028,E02001125,12.82051282,28.20512821,22.85714286,40,2028,197,412,294,248,169,251,347,93,17,389777.6589,403427.8789
Oldham 029,E02001126,11.42857143,28.57142857,25.67567568,43.24324324,2294,136,288,228,244,156,368,572,253,49,392926.575,403046.0032
Oldham 030,E02001127,11.76470588,23.52941176,25,38.46153846,1994,141,284,215,239,123,326,409,229,28,391682.2955,402428.4974
Oldham 031,E02001128,8.823529412,29.41176471,23.68421053,36.84210526,1953,165,368,311,207,154,260,355,119,14,390552.7188,402061.5239
Oldham 032,E02001129,17.24137931,24.13793103,30,50,1795,171,325,265,161,126,259,327,118,43,389283.6562,401346.3477
Oldham 033,E02001130,11.11111111,22.22222222,22.72727273,50,1466,209,323,194,202,108,165,187,68,10,390655.9925,401048.7545
Oldham 034,E02001131,8.333333333,20.83333333,25,35,1432,161,305,213,179,133,164,208,61,8,389498.1682,400537.2284
