,MSOA_name,MSOA_code,Rec_obesity,Rec_overweight,Y6_obesity,Y6_overweight,Sum,L1 L2 and L3,L4 L5 and L6,L7,L8 and L9,L10 and L11,L12,L13,L14.1 and L14.2,L15,All households,not deprived,deprived in one,deprived in two,deprived in three,deprived in four
278,Trafford 001,E02001259,9.411764706,18.82352941,21.11111111,38.88888889,2888,13.746537396121884,20.533240997229917,10.49168975069252,11.59972299168975,4.951523545706371,12.396121883656509,13.088642659279778,9.556786703601109,3.6357340720221605,4764.0,42.44332493702771,32.64063811922754,18.408900083963058,6.276238455079765,0.23089840470193115
279,Trafford 002,E02001260,12.0,22.0,16.36363636,36.36363636,2008,22.01195219123506,28.237051792828687,13.645418326693227,9.113545816733067,6.623505976095617,7.918326693227091,9.213147410358566,2.888446215139442,0.348605577689243,3074.0,52.504879635653865,33.05139882888744,12.068965517241379,2.309694209499024,0.06506180871828238
280,Trafford 003,E02001261,10.76923077,23.07692308,22.85714286,38.57142857,2425,16.412371134020617,25.030927835051546,14.02061855670103,10.185567010309278,5.525773195876289,9.690721649484537,12.907216494845361,4.948453608247423,1.2783505154639174,3665.0,49.631650750341066,32.251023192360165,13.315143246930422,4.665757162346521,0.1364256480218281
281,Trafford 004,E02001262,6.557377049,16.39344262,20.54794521,35.61643836,2090,20.526315789473685,20.95693779904306,10.143540669856458,14.736842105263156,4.736842105263158,9.617224880382775,11.38755980861244,7.368421052631578,0.5263157894736842,3083.0,43.593902043464155,33.70094064223159,17.90463833927992,4.60590334090172,0.19461563412260785
282,Trafford 005,E02001263,8.928571429,17.85714286,16.36363636,32.72727273,2059,26.857697911607577,29.626032054395335,10.39339485186984,11.46187469645459,5.973773676542011,6.410879067508499,6.799417192812045,2.1369596891694997,0.3399708596406022,3410.0,55.01466275659824,33.40175953079179,9.970674486803519,1.5835777126099706,0.02932551319648094
283,Trafford 006,E02001264,9.375,20.3125,23.1884058,39.13043478,2314,17.45894554883319,27.225583405358687,13.13742437337943,13.180639585133965,5.488331892826275,8.859118409680207,11.019878997407087,3.3707865168539324,0.25929127052722556,3301.0,52.89306270827022,30.930021205695247,13.117237200848228,2.908209633444411,0.1514692517418964
284,Trafford 007,E02001265,5.0,18.33333333,23.33333333,36.66666667,2135,18.782201405152225,28.149882903981265,13.629976580796251,11.100702576112411,6.932084309133489,8.337236533957846,9.55503512880562,3.185011709601874,0.32786885245901637,3388.0,48.90791027154663,33.175914994096814,14.61038961038961,3.0991735537190084,0.2066115702479339
285,Trafford 008,E02001266,10.63829787,25.53191489,27.65957447,38.29787234,1733,16.099249855741487,23.196768609347952,13.50259665320254,12.348528563185228,5.539526832083093,10.617426428159261,12.925562608193882,4.962492787074437,0.8078476630121176,3092.0,42.82018111254851,35.025873221216045,17.04398447606727,4.851228978007762,0.258732212160414
286,Trafford 009,E02001267,6.666666667,20.0,16.27906977,27.90697674,1812,25.772626931567327,27.097130242825607,13.300220750551878,9.492273730684326,5.242825607064018,7.339955849889625,8.222958057395143,3.090507726269316,0.44150110375275936,3389.0,47.064030687518446,32.60548834464444,15.078194157568603,4.898200059014458,0.35408675125405725
287,Trafford 010,E02001268,4.651162791,18.60465116,16.27906977,32.55813953,1761,26.17830777967064,30.38046564452016,10.732538330494037,10.221465076660987,5.848949460533787,7.268597387847814,7.04145371947757,1.9875070982396368,0.34071550255536626,2957.0,54.852891444031115,31.85661143050389,11.362867771389922,1.927629354075076,0.0
288,Trafford 011,E02001269,6.666666667,18.33333333,21.66666667,40.0,2143,21.278581427904804,27.624825011665887,11.432571161922539,11.712552496500233,4.526364909006066,8.726084927671488,9.70601959869342,4.386374241717219,0.6066262249183387,3576.0,49.91610738255034,31.43176733780761,14.569351230425056,3.887024608501118,0.19574944071588368
289,Trafford 012,E02001270,5.333333333,17.33333333,14.28571429,23.21428571,2254,33.89529724933452,28.08340727595386,8.78438331854481,9.804791481810115,4.569653948535936,6.787932564330079,5.279503105590062,2.129547471162378,0.6654835847382431,3651.0,59.40838126540674,27.526705012325394,10.380717611613257,2.6020268419611066,0.08216926869350863
290,Trafford 013,E02001271,8.163265306,20.40816327,15.09433962,33.96226415,1735,20.288184438040346,25.18731988472622,13.371757925072044,12.507204610951009,5.302593659942363,8.760806916426512,9.971181556195965,4.034582132564841,0.5763688760806917,2786.0,49.74874371859296,30.79684134960517,15.147164393395549,4.235463029432879,0.07178750897343862
291,Trafford 014,E02001272,7.01754386,19.29824561,13.55932203,25.42372881,2023,33.95946613939694,29.06574394463668,9.49085516559565,10.92436974789916,3.8062283737024223,6.080079090459713,4.498269896193772,2.0761245674740483,0.09886307464162135,3368.0,60.27315914489311,29.1270783847981,8.610451306413301,1.8705463182897861,0.11876484560570072
